usuario,num_tweets,num_amigos,num_seguidores
KarinaV82191457,1,13,0
jhon11946878,0,32,1
Vanesa86735942,12,47,0
gemmam44,964,164,32
EvelinDiestra2,0,36,0
panxito_26,3,58,2
Estefan63478216,0,7,0
Guille21025046,0,11,0
TattooVania,2,21,0
ESpataris,1,58,1
hemunozf,63,345,19
DanielO27296834,0,39,0
trejo196858,72,1294,81
Davick_song,0,43,1
andresfrg21,0,294,14
fc_orellana,2,42,0
DelgadoKHellen,4,22,8
85darkman,4,73,4
Edwards36233218,73,1203,204
Alexis_del_sur,156,235,34
betanzo_c,2008,674,139
MarciaG62317058,4,78,1
SantanaAlvear,39,146,6
RenatoT94328017,0,93,2
Chena_patagonia,0,31,13
Mario02269244,0,155,0
Cees50874607,7,86,0
martin_aemi,0,25,1
cgtservidor,43,435,129
13Kamencho,0,2,1
LeMasti,626,137,26
siskia1958,195,333,53
Roberto16094912,0,25,0
pilar_iturra,0,20,1
Natalia49080953,1,20,1
Carolin46890313,0,32,1
ProgramaNTN,22460,6017,67325
joyruizlaprinc1,1,48,6
Maryann22285042,2,6,0
beatriznicoman,70,82,7
yatagan1983,0,7,0
JnoVidal,6,518,40
smuelgf,30,116,12
danixabahamond3,0,46,2
TioVic0r,11,71,0
angelica_cayo,0,26,1
MargotInostroz1,0,32,1
nancho00,3724,2029,578
cesarsosa8,388,675,117
JosGarc43201327,0,27,0
NicolMontesMar1,0,24,2
HectorOsses9,0,44,3
Karonavarrete,310,167,7
sergioh78,81,149,10
Corelly12,4,15,1
mtamarabr,1,42,8
Estefan72810053,0,51,0
mar_y_cueca,27,224,27
ClantcDelsur1,0,8,0
Claudio89567351,0,10,0
Camila97346455,0,23,0
JavierOvando6,59,86,18
leonardollanos,769,346,205
MaraCas75781553,1,33,1
LiebermanRaguel,6,34,0
jcamposgarcia18,1127,926,99
movil_20,0,7,1
